negative-word,Count
absurd,6
attack,5
bullshit,1
killed,2
insane,8
obsess,2
strange,5
twist,5
wrong,3
corrupt,2
harass,56
conservative,57
indoctrination,55
kill,4
problems,21
blame,2
bias,1
genocide,1
accuse,108
shit,3
problematic,1
toxic,2
ripped,1
delusional,1
reject,4
rejected,5
betray,1
losing,2
difficult,3
crowded,6
ignore,6
sad,1
terrible,7
horrible,5
worry,2
feign,1
outrage,1
hard,4
bumping,1
debt,8
failing,2
exploitation,1
cons,3
inability,1
wrongful,1
heck,1
criticism,3
spoil,95
emergency,6
protest,84
mess,57
heartbreaking,16
stupid,3
pretend,1
perverse,7
die,6
disaster,1
difficulty,1
struggle,1
alarm,1
allegations,2
fall,6
damaging,1
death,2
threats,1
sick,2
limited,5
nonsense,2
extremist,2
shortage,1
stunt,2
funny,10
threatening,8
dishonest,33
shameful,34
bothering,33
rhetoric,4
brutally,1
immoral,1
protesting,4
murder,3
anxiety,1
trauma,2
struggles,2
poorly,11
deaf,1
naively,5
bad,11
fat,1
racist,8
attacks,1
hate,1
steal,4
poor,3
raging,1
vice,5
shocked,2
excuse,1
undermining,1
bs,2
slave,4
miss,1
lies,2
conflicts,1
problem,4
lack,6
picket,3
lost,2
destroy,1
crime,1
negative,1
fallen,1
creeps,2
breaks,1
restricted,1
unfortunate,1
dropouts,1
protests,1
opposition,2
odd,4
rage,2
unbelievable,1
leak,2
complicit,1
cancer,1
dissing,2
swamped,1
laughingstock,3
strike,4
precarious,1
ignorance,5
greedy,1
hysteria,1
dies,1
mar,1
senseless,1
shameless,1
unleash,3
damning,5
poverty,5
hardliner,1
complaint,1
sorry,2
loose,1
harm,1
risk,1
damage,1
hypocrites,1
inadequate,1
weak,1
warning,1
waste,1
gross,3
ruin,1
illusion,1
oppose,1
cheap,5
wound,4
scrap,2
imperialist,4
offensive,1
hum,1
warned,1
weird,1
boycott,2
treasonous,1
filthy,1
degenerate,1
bitter,1
shame,6
irate,1
bother,1
offend,1
issues,1
silly,2
unfounded,1
concern,2
interference,1
angry,1
burn,2
stress,1
fucking,1
incompetence,1
ruined,1
breaking,1
disadvantaged,2
radical,1
complaining,1
lose,1
unfortunately,1
bloody,2
joke,1
demise,1
resignation,2
awful,1
broken,2
tyranny,1
unable,1
crush,4
demolish,4
scandal,3
nervous,1
morons,1
weakening,1
vulnerable,2
losses,1
insults,1
virus,1
infested,1
damn,1
wasted,1
din,1
bust,1
bomb,1
smoke,1
