words,Count
leading,7
improving,44
top,68
incredibly,9
well,25
favor,95
good,63
enough,26
free,91
better,7
great,15
providence,3
welcome,16
congratulations,23
best,36
reconciliation,17
master,3
happy,4
dawn,1
superior,4
innovation,8
resilient,2
ready,43
civility,2
work,32
privilege,3
magical,33
leads,32
trump,8
right,29
dignity,9
easier,10
like,91
trust,3
excited,41
successes,2
rich,1
richer,1
won,16
thank,41
benevolence,6
dedicated,22
boost,18
educated,2
proud,24
cooperative,1
lively,2
impressed,1
strong,11
honored,5
affordable,3
commitment,11
qualify,8
pretty,4
delighted,2
supports,6
brilliant,11
properly,2
secure,10
vibrant,10
glad,7
awarded,8
prestigious,106
promises,1
reforms,1
lead,8
modern,4
nice,1
proven,4
effective,9
support,74
important,6
encourage,1
significant,1
wonder,19
innovative,7
posh,1
winning,19
recommend,3
popular,1
decent,2
unity,6
suitable,2
willing,2
fantastic,3
premier,4
talent,5
adjustable,4
improve,7
comprehensive,1
lucky,2
luxury,1
beautiful,14
excellence,3
appeal,1
fine,1
warm,3
useful,2
honor,2
influential,1
benefits,5
safe,1
amazing,2
fair,6
subsidizes,1
sustainability,3
worth,1
golden,1
award,6
honoring,1
comfortable,2
easy,2
love,7
celebration,3
keen,2
supported,3
outperformed,2
favour,1
success,3
protection,1
rapid,1
fresh,1
wins,2
gain,1
fun,5
appreciated,1
virtuous,1
thankful,1
subsidized,4
encouraging,5
likes,1
appreciate,1
savings,3
luck,1
humane,1
ideal,1
greatest,1
paradise,1
effectiveness,1
works,2
assurance,2
fascinating,1
ambitious,2
progressive,1
wow,1
interesting,2
clean,2
available,3
resourceful,1
sparkling,1
fast,4
wholeheartedly,1
confident,1
smarter,1
magic,1
promise,1
benefit,2
pleasure,4
contribution,1
merit,2
steady,5
elevate,1
successful,3
subsidizing,1
passion,2
succeed,1
supporting,4
talented,1
gold,1
fabulous,1
gorgeous,1
progress,1
loving,2
smartly,1
praise,1
pleases,1
respect,1
enthusiast,2
solidarity,1
helped,1
desirable,4
tough,1
unlimited,1
gained,1
intelligent,4
capable,4
protect,1
outshine,1
privileged,3
loves,2
winner,2
excel,5
reputation,1
awards,1
lovely,1
guarantee,1
diplomatic,1
fortune,1
cool,3
promising,1
unmatched,1
empower,1
precisely,1
enjoyed,2
prodigy,2
powerful,2
accomplishment,1
exciting,1
cheer,1
loved,1
proper,1
felicity,2
protective,2
freedom,1
stronger,3
clear,1
sophisticated,1
absurd,6
attack,5
bullshit,1
killed,2
insane,8
obsess,2
strange,5
twist,5
wrong,3
corrupt,2
harass,56
conservative,57
indoctrination,55
kill,4
problems,21
blame,2
bias,1
genocide,1
accuse,108
shit,3
problematic,1
toxic,2
ripped,1
delusional,1
reject,4
rejected,5
betray,1
losing,2
difficult,3
crowded,6
ignore,6
sad,1
terrible,7
horrible,5
worry,2
feign,1
outrage,1
hard,4
bumping,1
debt,8
failing,2
exploitation,1
cons,3
inability,1
wrongful,1
heck,1
criticism,3
spoil,95
emergency,6
protest,84
mess,57
heartbreaking,16
stupid,3
pretend,1
perverse,7
die,6
disaster,1
difficulty,1
struggle,1
alarm,1
allegations,2
fall,6
damaging,1
death,2
threats,1
sick,2
limited,5
nonsense,2
extremist,2
shortage,1
stunt,2
funny,10
threatening,8
dishonest,33
shameful,34
bothering,33
rhetoric,4
brutally,1
immoral,1
protesting,4
murder,3
anxiety,1
trauma,2
struggles,2
poorly,11
deaf,1
naively,5
bad,11
fat,1
racist,8
attacks,1
hate,1
steal,4
poor,3
raging,1
vice,5
shocked,2
excuse,1
undermining,1
bs,2
slave,4
miss,1
lies,2
conflicts,1
problem,4
lack,6
picket,3
lost,2
destroy,1
crime,1
negative,1
fallen,1
creeps,2
breaks,1
restricted,1
unfortunate,1
dropouts,1
protests,1
opposition,2
odd,4
rage,2
unbelievable,1
leak,2
complicit,1
cancer,1
dissing,2
swamped,1
laughingstock,3
strike,4
precarious,1
ignorance,5
greedy,1
hysteria,1
dies,1
mar,1
senseless,1
shameless,1
unleash,3
damning,5
poverty,5
hardliner,1
complaint,1
sorry,2
loose,1
harm,1
risk,1
damage,1
hypocrites,1
inadequate,1
weak,1
warning,1
waste,1
gross,3
ruin,1
illusion,1
oppose,1
cheap,5
wound,4
scrap,2
imperialist,4
offensive,1
hum,1
warned,1
weird,1
boycott,2
treasonous,1
filthy,1
degenerate,1
bitter,1
shame,6
irate,1
bother,1
offend,1
issues,1
silly,2
unfounded,1
concern,2
interference,1
angry,1
burn,2
stress,1
fucking,1
incompetence,1
ruined,1
breaking,1
disadvantaged,2
radical,1
complaining,1
lose,1
unfortunately,1
bloody,2
joke,1
demise,1
resignation,2
awful,1
broken,2
tyranny,1
unable,1
crush,4
demolish,4
scandal,3
nervous,1
morons,1
weakening,1
vulnerable,2
losses,1
insults,1
virus,1
infested,1
damn,1
wasted,1
din,1
bust,1
bomb,1
smoke,1
