Term,Canada
Canada appeared in 147 documents,Total words(m),Frequency(f)
Article #0,99,1
Article #1,100,2
Article #2,95,2
Article #3,64,1
Article #4,144,1
Article #5,104,2
Article #6,126,2
Article #7,155,2
Article #8,124,2
Article #9,122,2
Article #10,102,2
Article #13,128,2
Article #14,120,2
Article #15,135,1
Article #16,138,5
Article #17,121,5
Article #18,139,1
Article #19,128,5
Article #20,126,6
Article #21,86,3
Article #22,115,3
Article #25,72,2
Article #26,128,6
Article #27,143,3
Article #28,129,2
Article #29,138,6
Article #30,128,5
Article #31,132,2
Article #32,132,5
Article #33,127,2
Article #35,114,1
Article #36,119,3
Article #37,125,6
Article #38,130,2
Article #39,120,3
Article #40,143,1
Article #41,129,5
Article #42,86,2
Article #43,94,2
Article #44,108,2
Article #45,92,2
Article #46,111,2
Article #47,145,1
Article #48,94,2
Article #49,126,3
Article #50,116,2
Article #52,130,2
Article #53,137,1
Article #54,135,3
Article #55,147,1
Article #56,124,5
Article #57,135,2
Article #58,128,1
Article #59,134,2
Article #60,139,3
Article #61,104,2
Article #62,95,2
Article #63,136,3
Article #64,129,3
Article #65,95,2
Article #66,104,2
Article #68,123,1
Article #69,120,1
Article #70,134,4
Article #71,127,2
Article #73,120,2
Article #74,129,2
Article #75,110,1
Article #77,126,2
Article #78,136,2
Article #79,139,2
Article #80,142,5
Article #81,99,1
Article #82,132,2
Article #83,127,2
Article #84,126,2
Article #85,115,1
Article #86,121,2
Article #87,133,3
Article #88,110,1
Article #89,139,2
Article #90,125,2
Article #91,131,1
Article #92,145,4
Article #93,138,3
Article #94,133,3
Article #96,137,2
Article #98,103,1
Article #199,138,2
Article #204,132,1
Article #205,116,1
Article #222,105,1
Article #223,107,3
Article #228,104,1
Article #236,108,2
Article #242,101,1
Article #246,95,1
Article #249,98,2
Article #251,122,2
Article #252,111,2
Article #255,110,1
Article #259,109,2
Article #260,97,1
Article #261,97,1
Article #265,95,1
Article #267,103,1
Article #287,104,2
Article #288,127,1
Article #302,138,5
Article #308,104,2
Article #322,133,4
Article #326,142,4
Article #330,132,3
Article #335,115,3
Article #336,105,1
Article #346,124,2
Article #350,131,3
Article #351,131,3
Article #352,117,2
Article #367,92,2
Article #369,113,4
Article #371,131,2
Article #372,131,2
Article #375,120,1
Article #385,120,2
Article #388,135,1
Article #390,124,1
Article #394,109,2
Article #395,123,1
Article #410,90,1
Article #418,109,1
Article #424,129,1
Article #425,114,3
Article #426,115,2
Article #427,109,2
Article #428,100,1
Article #429,102,2
Article #432,85,1
Article #437,114,2
Article #439,87,2
Article #448,118,1
Article #453,132,1
Article #458,113,1
Article #460,113,2
Article #470,113,2
Article #473,103,4
Article #482,116,1
